# Label each row: real (worth fixing here), noise (not actionable in this repo), dup (same issue as another row — name its fingerprint in notes)
fingerprint	source	package	advisory	severity	title	label	notes
001cacac42248bcd	osv-scanner	mathjs	CVE-2017-1001002	critical	Arbitrary Code Execution in mathjs		
04500dc39bf8e425	npm-audit	mysql2	GHSA-MQR2-W7WJ-JJGR	moderate	mysql2 cache poisoning vulnerability		
07a209731d142d3b	npm-audit	dicer	GHSA-WM7H-9275-46V2	high	Crash in HeaderParser in dicer		
0a785f5484b77292	npm-audit	typed-function	GHSA-3QH4-R86R-GRVM	high	Arbitrary JavaScript Execution in typed-function		
0b69fa52ef07a6aa	npm-audit	libxmljs	GHSA-6433-X5P4-8JC7	critical	libxmljs vulnerable to type confusion when parsing specially crafted XML		
0c77d7f193eb34d3	osv-scanner	qs	CVE-2025-15284	moderate	qs's arrayLimit bypass in its bracket notation allows DoS via memory exhaustion		
0c79ce6168ec5452	npm-audit	libxmljs	GHSA-JV72-59WQ-8RXM	high	libxmljs has segmentation fault, potentially leading to a denial-of-service (DoS)		
0ca203dc505bb25b	osv-scanner	ejs	CVE-2022-29078	critical	ejs template injection vulnerability		
0cd51671c9ee91f5	npm-audit	mysql2	GHSA-FPW7-J2HG-69V5	critical	mysql2 Remote Code Execution (RCE) via the readCodeFor function		
0cd8c4a0f107b008	npm-audit	libxmljs	GHSA-MG49-JQGW-GCJ6	critical	libxmljs vulnerable to type confusion when parsing specially crafted XML 		
0e0d78d4df2e1eb5	npm-audit	express-fileupload	GHSA-Q3W9-G74Q-VP5F	low	Denial of Service in express-fileupload		
0e0d78d4df2e1eb5	npm-audit	express-fileupload	GHSA-Q3W9-G74Q-VP5F	low	Denial of Service in express-fileupload		
0e0d78d4df2e1eb5	npm-audit	express-fileupload	GHSA-Q3W9-G74Q-VP5F	low	Denial of Service in express-fileupload		
0e0d78d4df2e1eb5	npm-audit	express-fileupload	GHSA-Q3W9-G74Q-VP5F	low	Denial of Service in express-fileupload		
0e0d78d4df2e1eb5	npm-audit	express-fileupload	GHSA-Q3W9-G74Q-VP5F	low	Denial of Service in express-fileupload		
0e0d78d4df2e1eb5	osv-scanner	express-fileupload	GHSA-Q3W9-G74Q-VP5F	low	Denial of Service in express-fileupload		
0e2c453e0d5a9427	osv-scanner	tar	CVE-2026-23950	high	Race Condition in node-tar Path Reservations via Unicode Ligature Collisions on macOS APFS		
108ba2f258a96a23	osv-scanner	sequelize	CVE-2023-22580	moderate	Sequelize information disclosure vulnerability		
1556232da3129f08	npm-audit	tar	GHSA-23HP-3JRH-7FPW	critical	node-tar: Decompression/parse DoS via unlimited input		
16b7760835606031	npm-audit	tar	GHSA-R292-9MHP-454M	moderate	node-tar: Uncontrolled recursion in mapHas/filesFilter allows uncatchable stack-overflow DoS via crafted long-path tar with member selection		
16b7760835606031	osv-scanner	tar	GHSA-R292-9MHP-454M	moderate	node-tar: Uncontrolled recursion in mapHas/filesFilter allows uncatchable stack-overflow DoS via crafted long-path tar with member selection		
1db0056004ccb6e6	osv-scanner	tar	CVE-2026-26960	high	Arbitrary File Read/Write via Hardlink Target Escape Through Symlink Chain in node-tar Extraction		
1f18c68513e3aec5	npm-audit	request	GHSA-P8P7-X288-28G6	moderate	Server-Side Request Forgery in Request		
1ff1b8dddeb1a162	npm-audit	tar	GHSA-QFFP-2RHF-9H96	high	tar has Hardlink Path Traversal via Drive-Relative Linkpath		
207ae20f1fb56179	osv-scanner	tar	CVE-2026-59871	moderate	node-tar: Process crash via PAX numeric path type confusion		
218a3e2a0540e893	npm-audit	mysql2	GHSA-PMH2-WPJM-FJ45	high	mysql2 vulnerable to Prototype Pollution		
25585a2ee27e1d4b	osv-scanner	tar	CVE-2026-29786	high	tar has Hardlink Path Traversal via Drive-Relative Linkpath		
27ceed0043b0aa75	osv-scanner	mathjs	CVE-2020-7743	high	Prototype Pollution in mathjs		
2c8bfe2273740bf8	osv-scanner	tar	CVE-2026-53655	moderate	node-tar applies PAX size override to intermediary GNU long-name/long-link headers, causing tar parser interpretation differential (file smuggling)		
2e141b8fa958fe6b	npm-audit	sequelize	GHSA-VQFX-GJ96-3W95	critical	Unsafe fall-through in getWhereConditions		
2fc255e1f09e5242	osv-scanner	tough-cookie	CVE-2023-26136	moderate	tough-cookie Prototype Pollution vulnerability		
30845ec0fe9d401e	npm-audit	tar	GHSA-F5X3-32G6-XQ36	moderate	Denial of service while parsing a tar file due to lack of folders count validation		
30b19792c9d80bba	osv-scanner	typed-function	CVE-2017-1001004	high	Arbitrary JavaScript Execution in typed-function		
33b655463b358f82	osv-scanner	tar	CVE-2026-31802	high	node-tar Symlink Path Traversal via Drive-Relative Linkpath		
38d6600800d8f661	npm-audit	mathjs	GHSA-PV8X-P9HQ-J328	critical	Arbitrary Code Execution in mathjs		
3a874afa8a6e0d69	npm-audit	sequelize	GHSA-8C25-F3MJ-V6H8	moderate	Sequelize information disclosure vulnerability		
3a91310e9839f435	npm-audit	tar	GHSA-8QQ5-RM4J-MR97	high	node-tar is Vulnerable to Arbitrary File Overwrite and Symlink Poisoning via Insufficient Path Sanitization		
