# These two share no advisory id, so they were NOT joined and were flagged instead.
# label: same (they were one advisory — the caution cost a duplicate) | different (leaving them apart was right) | unsure
# Every hold is here. This is the census, and it is the most argued line in the design.
repo	package	advisories	title_a	title_b	range	label	notes
dvna	mathjs	CVE-2017-1001002  vs  CVE-2017-1001003	Arbitrary Code Execution in mathjs	Arbitrary Code Execution in mathjs	same		
dvna	sequelize	CVE-2023-22580  vs  CVE-2023-22579	Sequelize information disclosure vulnerability	Unsafe fall-through in getWhereConditions	same		
dvna	tar	CVE-2026-59871  vs  CVE-2026-59874	node-tar: Process crash via PAX numeric path type confusion	node-tar: Negative tar entry size causes infinite loop in archive replace	same		
dvna	mysql2	CVE-2024-21508  vs  CVE-2024-21509	mysql2 Remote Code Execution (RCE) via the readCodeFor function	mysql2 vulnerable to Prototype Poisoning	same		
dvna	libxmljs	CVE-2025-25341  vs  CVE-2024-34392	libxmljs has segmentation fault, potentially leading to a denial-of-service (DoS)	libxmljs vulnerable to type confusion when parsing specially crafted XML 	same		
dvna	libxmljs	CVE-2025-25341  vs  CVE-2024-34391	libxmljs has segmentation fault, potentially leading to a denial-of-service (DoS)	libxmljs vulnerable to type confusion when parsing specially crafted XML	same		
dvna	libxmljs	CVE-2024-34392  vs  CVE-2024-34391	libxmljs vulnerable to type confusion when parsing specially crafted XML 	libxmljs vulnerable to type confusion when parsing specially crafted XML	same		
hackathon-starter	undici	CVE-2026-13697  vs  CVE-2026-14643	undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives	undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives	same		
hackathon-starter	undici	CVE-2026-15157  vs  CVE-2026-16728	undici vulnerable to CRLF Injection via blob-like body 'type' property	undici vulnerable to downstream response desynchronization via retry interceptor	same		
hackathon-starter	undici	CVE-2026-15157  vs  CVE-2026-16729	undici vulnerable to CRLF Injection via blob-like body 'type' property	undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields	same		
hackathon-starter	undici	CVE-2026-16728  vs  CVE-2026-16729	undici vulnerable to downstream response desynchronization via retry interceptor	undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields	same		
juice-shop	undici	CVE-2026-1525  vs  CVE-2026-1526	Undici has an HTTP Request/Response Smuggling issue	Undici has Unbounded Memory Consumption in WebSocket permessage-deflate Decompression	same		
juice-shop	undici	CVE-2026-1525  vs  CVE-2026-2229	Undici has an HTTP Request/Response Smuggling issue	Undici has Unhandled Exception in WebSocket Client Due to Invalid server_max_window_bits Validation	same		
juice-shop	undici	CVE-2026-1525  vs  CVE-2026-1527	Undici has an HTTP Request/Response Smuggling issue	Undici has CRLF Injection in undici via `upgrade` option	same		
juice-shop	tar	CVE-2026-59871  vs  CVE-2026-59874	node-tar: Process crash via PAX numeric path type confusion	node-tar: Negative tar entry size causes infinite loop in archive replace	same		
juice-shop	undici	CVE-2026-12151  vs  CVE-2026-9679	undici WebSocket client vulnerable to denial of service via fragment count bypass	undici vulnerable to HTTP header injection via Set-Cookie percent-decoding	same		
juice-shop	undici	CVE-2026-12151  vs  CVE-2026-11525	undici WebSocket client vulnerable to denial of service via fragment count bypass	undici vulnerable to Set-Cookie SameSite attribute downgrade via permissive substring matching	same		
juice-shop	undici	CVE-2026-12151  vs  CVE-2026-6733	undici WebSocket client vulnerable to denial of service via fragment count bypass	undici vulnerable to HTTP response queue poisoning via keep-alive socket reuse	same		
juice-shop	undici	CVE-2026-15157  vs  CVE-2026-16728	undici vulnerable to CRLF Injection via blob-like body 'type' property	undici vulnerable to downstream response desynchronization via retry interceptor	same		
juice-shop	undici	CVE-2026-15157  vs  CVE-2026-16729	undici vulnerable to CRLF Injection via blob-like body 'type' property	undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields	same		
juice-shop	undici	CVE-2026-1526  vs  CVE-2026-2229	Undici has Unbounded Memory Consumption in WebSocket permessage-deflate Decompression	Undici has Unhandled Exception in WebSocket Client Due to Invalid server_max_window_bits Validation	same		
juice-shop	undici	CVE-2026-1526  vs  CVE-2026-1527	Undici has Unbounded Memory Consumption in WebSocket permessage-deflate Decompression	Undici has CRLF Injection in undici via `upgrade` option	same		
juice-shop	jsonwebtoken	CVE-2022-23539  vs  CVE-2022-23541	jsonwebtoken unrestricted key type could lead to legacy keys usage 	jsonwebtoken's insecure implementation of key retrieval function could lead to Forgeable Public/Private Tokens from RSA to HMAC	same		
juice-shop	multer	CVE-2026-3304  vs  CVE-2026-2359	Multer vulnerable to Denial of Service via incomplete cleanup	Multer vulnerable to Denial of Service via resource exhaustion	same		
