# Label each row: real (worth fixing here), noise (not actionable in this repo), dup (same issue as another row — name its fingerprint in notes)
fingerprint	source	package	advisory	severity	title	label	notes
024d089e257677e1	npm-audit	npm	GHSA-M6CX-G6QM-P2CX	high	Arbitrary File Write in npm		
026a64b831dad2f9	npm-audit	sshpk	GHSA-2M39-62FM-Q8R3	high	Regular Expression Denial of Service in sshpk		
02970bec0953222b	npm-audit	handlebars	GHSA-2CF5-4W76-R9QV	high	Arbitrary Code Execution in handlebars		
02970bec0953222b	osv-scanner	handlebars	GHSA-2CF5-4W76-R9QV	high	Arbitrary Code Execution in handlebars		
02cded5973869a65	osv-scanner	npm	CVE-2018-7408	high	Incorrect Permission Assignment for Critical Resource in NPM		
049b4f154b9fa0bb	osv-scanner	adm-zip	CVE-2026-39244	high	adm-zip: Crafted ZIP file triggers 4GB memory allocation		
05636c1f31173724	npm-audit	lodash	GHSA-X5RQ-J2XG-H7QM	moderate	Regular Expression Denial of Service (ReDoS) in lodash		
0627c65011e1ae7a	npm-audit	brace-expansion	GHSA-832H-XG76-4GV6	high	ReDoS in brace-expansion		
06671cbcddba8df4	npm-audit	marked	GHSA-7PX7-7XJX-HXM8	moderate	Marked vulnerable to XSS from data URIs		
07caee3401671167	npm-audit	handlebars	GHSA-3MFM-83XF-C92R	high	Handlebars.js has JavaScript Injection via AST Type Confusion by tampering @partial-block		
09a61383f3c7aa25	npm-audit	handlebars	GHSA-Q42P-PG8M-CQH6	high	Prototype Pollution in handlebars		
09a61383f3c7aa25	osv-scanner	handlebars	GHSA-Q42P-PG8M-CQH6	high	Prototype Pollution in handlebars		
09cc1589a7b57999	npm-audit	brace-expansion	GHSA-MH99-V99M-4GVG	high	brace-expansion: DoS via unbounded expansion length causing an out-of-memory process crash		
09f3b6e59f4a5114	npm-audit	y18n	GHSA-C4W7-XM78-47VH	high	Prototype Pollution in y18n		
0ab91b1178dfc8a6	osv-scanner	npm	CVE-2019-16777	high	npm Vulnerable to Global node_modules Binary Overwrite		
0b15264267dde1bf	npm-audit	semver	GHSA-C2QF-RXJJ-QQGW	high	semver vulnerable to Regular Expression Denial of Service		
0bfa1331f24ef208	npm-audit	brace-expansion	GHSA-F886-M6HF-6M8V	moderate	brace-expansion: Zero-step sequence causes process hang and memory exhaustion		
0c71ca710f58c984	npm-audit	lodash	GHSA-F23M-R3PF-42RH	moderate	lodash vulnerable to Prototype Pollution via array path bypass in `_.unset` and `_.omit`		
0c77d7f193eb34d3	osv-scanner	qs	CVE-2025-15284	moderate	qs's arrayLimit bypass in its bracket notation allows DoS via memory exhaustion		
0c8148251e9b1ad7	npm-audit	handlebars	GHSA-W457-6Q6X-CGP9	critical	Prototype Pollution in handlebars		
0e2c453e0d5a9427	osv-scanner	tar	CVE-2026-23950	high	Race Condition in node-tar Path Reservations via Unicode Ligature Collisions on macOS APFS		
0e859f5ca3dd1e90	npm-audit	marked	GHSA-5V2H-R2CX-5XGJ	high	Inefficient Regular Expression Complexity in marked		
0fb46f296a3038f9	osv-scanner	handlebars	CVE-2026-33937	critical	Handlebars.js has JavaScript Injection via AST Type Confusion		
115e7d5149440f58	osv-scanner	hosted-git-info	CVE-2021-23362	moderate	Regular Expression Denial of Service in hosted-git-info		
11c446df9bcd6a07	npm-audit	mixin-deep	GHSA-FHJF-83WG-R2J9	critical	Prototype Pollution in mixin-deep		
136512be6dc5ccfe	osv-scanner	brace-expansion	CVE-2017-18077	high	ReDoS in brace-expansion		
137a4f825bbcdb9c	npm-audit	js-yaml	GHSA-8J8C-7JFH-H6HX	high	Code Injection in js-yaml		
137a4f825bbcdb9c	osv-scanner	js-yaml	GHSA-8J8C-7JFH-H6HX	high	Code Injection in js-yaml		
1403a5e02cda7718	osv-scanner	set-value	CVE-2021-23440	high	Prototype Pollution in set-value		
140bea0b0f8f8bbd	osv-scanner	fstream	CVE-2019-13173	high	Arbitrary File Overwrite in fstream		
14f58e5656b276e2	npm-audit	path-parse	GHSA-HJ48-42VR-X3V9	moderate	Regular Expression Denial of Service in path-parse		
1556232da3129f08	npm-audit	tar	GHSA-23HP-3JRH-7FPW	critical	node-tar: Decompression/parse DoS via unlimited input		
16b6b9646fac8f44	npm-audit	hoek	GHSA-JP4X-W63M-7WGM	high	Prototype Pollution in hoek		
16b7760835606031	npm-audit	tar	GHSA-R292-9MHP-454M	moderate	node-tar: Uncontrolled recursion in mapHas/filesFilter allows uncatchable stack-overflow DoS via crafted long-path tar with member selection		
